factor,n_in,neut_ic_in,neut_icir_in,neut_ic_oos,flip,abs_icir_in,survivor
dividend_yield_ttm,144,0.044558807686612883,0.8743053674868565,0.06012323953360421,0.0855457227138643,0.8743053674868565,True
earnings_yield,144,0.046946628071973785,0.7312369285307535,0.04900211346782244,0.10324483775811209,0.7312369285307535,True
revenue_accel_q,131,0.043418337724585906,0.690766972862306,0.00892247444251763,0.10122699386503067,0.690766972862306,True
quarterly_revenue_yoy,131,0.043418337724585906,0.690766972862306,0.00892247444251763,0.10122699386503067,0.690766972862306,False
asset_turnover,131,0.028650611808771913,0.6285354032352385,0.0077638136202613905,0.1411042944785276,0.6285354032352385,True
book_to_market,144,0.053225776634230365,0.5951116997294776,0.085744362377085,0.061946902654867256,0.5951116997294776,True
ocf_to_revenue_ttm,110,0.026266118239501417,0.5420513799060911,0.023004803020567427,0.10819672131147541,0.5420513799060911,True
revenue_yoy,131,0.03393751017639404,0.49353933821874924,0.0010933471208057623,0.0950920245398773,0.49353933821874924,False
accruals,137,-0.012592770704464344,-0.4447314407020891,-0.02569623898902163,0.12951807228915663,0.4447314407020891,True
equity_multiplier,131,0.01784684647966419,0.4336632448866999,-0.004859719429048053,0.10429447852760736,0.4336632448866999,True
fcf_yield_cf,137,-0.015522200446896407,-0.43035397525175684,-0.0004131850329252487,0.12650602409638553,0.43035397525175684,True
pe_ttm,144,-0.024014035371365254,-0.4241220872877661,-0.035237251336052794,0.12684365781710916,0.4241220872877661,True
size_rank,144,-0.027255436207613178,-0.4073859482077958,-0.05942330317659243,0.08849557522123894,0.4073859482077958,True
log_market_cap,144,-0.038949462213497,-0.39259044670397786,-0.08217833126597605,0.07964601769911504,0.39259044670397786,False
pb,144,-0.025447374982000878,-0.346417090950718,-0.06083875818080328,0.09144542772861357,0.346417090950718,True
ps_ttm,144,-0.021703375809595384,-0.3383671800366055,-0.0431043727413005,0.10619469026548672,0.3383671800366055,True
roe_ttm,131,0.02551039440429031,0.33533585356064877,0.0012145122323971099,0.10429447852760736,0.33533585356064877,True
operating_profit_yoy,131,0.015005842407488664,0.31391145656392944,0.005498989887841856,0.147239263803681,0.31391145656392944,True
net_profit_yoy,131,0.011863854431883756,0.2683820042392865,0.004700894931261873,0.1411042944785276,0.2683820042392865,False
roa_ttm,131,0.023047390707417296,0.26461417412760635,0.0007541154987346219,0.11042944785276074,0.26461417412760635,False
current_ratio,131,-0.015499770916308825,-0.2514745051167263,-0.019689431098197038,0.13496932515337423,0.2514745051167263,True
gross_margin,131,0.012025137200709928,0.16883735032075703,-0.0010893001502689462,0.12269938650306748,0.16883735032075703,False
earnings_accel_q,131,0.0043412302921197994,0.10197231036538923,0.003455157608988833,0.19325153374233128,0.10197231036538923,False
debt_to_assets,131,0.0061978611560924435,0.09883925638323277,-0.00034205235659506584,0.18404907975460122,0.09883925638323277,False
log_circ_market_cap,144,-0.011028337986013596,-0.09388598741395895,-0.07119338812461022,0.11209439528023599,0.09388598741395895,False
net_margin,131,0.004917425696629388,0.08631094235896873,0.004549965698887491,0.11042944785276074,0.08631094235896873,False
fcf_yield,131,-0.0017216616374514987,-0.05978177387497759,0.004225408143070276,0.1411042944785276,0.05978177387497759,False
